班型,离班类型,班级标价,实际缴费金额,平均后实缴金额,标准部门(原),年级,科目,开课日期-年,开课日期-月,开课日期-日,结课日期-年,结课日期-月,结课日期-日,教学区-0,教学区-1,教学区-2,教学区-3,教学区-4,教学区-5,教学区-6,教学区-7,教学区-8,班级归属季度,离班课次,课次,授课方式,进班课次,是否报下个季度,主代课教师,是否管理者,教师教龄（月）,教师性别,所学专业,毕业院校,是否是四类人才,岗位名称,学历,学员前三季度是否报读,学员本次报读前报读过多少次本科目,学员本次报读前报读过多少次全部科目
2,0,599,0,166.333333333333,1,3,3,2020,7,20,2020,7,31,1,0,0,0,0,0,0,0,0,21,0,10,2,0,0,1,0,3.66666666666667,0,1,1,0,1,2,0,0,0
1,0,599,100,166.333333333333,1,3,2,2020,7,20,2020,7,31,1,0,0,0,0,0,0,0,0,21,0,10,2,0,0,2,1,1.56666666666667,0,2,2,0,2,2,0,0,0
2,0,599,0,124.5,1,3,1,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,3,0,14.3,0,3,3,0,3,2,0,0,0
1,0,599,249,124.5,1,3,2,2020,8,3,2020,8,14,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,4,0,2.3,0,4,4,0,4,2,0,0,0
2,0,599,249,124.5,1,3,1,2020,7,20,2020,7,31,0,0,1,0,0,0,0,0,0,21,0,10,2,0,0,5,0,1.8,0,5,5,1,3,2,0,0,0
2,0,599,0,124.5,1,3,3,2020,7,20,2020,7,31,0,0,1,0,0,0,0,0,0,21,0,10,2,0,1,6,0,1.56666666666667,0,6,6,0,5,2,0,0,0
2,0,1580,96,96,2,7,2,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,7,0,14.5333333333333,0,7,5,1,6,2,0,0,0
1,0,1580,96,96,2,7,1,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,8,0,9.16666666666667,0,8,7,0,7,2,0,0,0
2,0,1580,96,96,2,7,3,2020,8,14,2020,8,22,1,0,0,0,0,0,0,0,0,21,0,9,2,0,1,9,0,2.16666666666667,0,9,8,1,8,2,0,0,0
2,0,599,100,166.333333333333,1,3,1,2020,8,17,2020,8,28,0,1,0,0,0,0,0,0,0,21,0,10,2,0,0,10,0,14.8666666666667,0,10,9,1,3,2,0,0,0
